[2026-09-01 14:06:30] NEW FILE TOTAL: 0/250 (0.0%) | LESSON PLANS: 0 (>20 req) | GRADES 1-12: [C1:0, C2:0, C3:0, C4:0, C5:0, C6:0, C7:0, C8:0, C9:0, C10:0, C11:0, C12:0] | RATE: +0 in 30s
[2026-09-01 16:35:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:35:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:36:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:36:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:37:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:37:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:38:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:38:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:39:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:39:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:40:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:40:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:41:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:41:33] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:42:03] NEW FILE TOTAL: 111/250 (44.4%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:10, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:42:33] NEW FILE TOTAL: 112/250 (44.8%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 16:43:03] NEW FILE TOTAL: 112/250 (44.8%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:43:33] NEW FILE TOTAL: 112/250 (44.8%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:44:03] NEW FILE TOTAL: 112/250 (44.8%) | LESSON PLANS: 39 (>20 req) | GRADES 1-12: [C1:15, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:44:33] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 16:45:03] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:45:33] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:46:03] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:46:33] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:47:03] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:47:33] NEW FILE TOTAL: 113/250 (45.2%) | LESSON PLANS: 40 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:10, C6:11, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:48:03] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +2 in 30s
[2026-09-01 16:48:33] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:49:03] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:49:33] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:50:03] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:50:33] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:51:03] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:51:34] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:52:04] NEW FILE TOTAL: 115/250 (46.0%) | LESSON PLANS: 41 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:11, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +0 in 30s
[2026-09-01 16:52:34] NEW FILE TOTAL: 116/250 (46.4%) | LESSON PLANS: 42 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:5, C5:12, C6:12, C7:9, C8:7, C9:7, C10:11, C11:5, C12:3] | RATE: +1 in 30s
[2026-09-01 16:53:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +3 in 30s
[2026-09-01 16:53:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:54:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:54:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:55:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:55:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:56:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:56:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:57:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:57:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:58:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:58:34] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:59:04] NEW FILE TOTAL: 119/250 (47.6%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:12, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 16:59:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +1 in 30s
[2026-09-01 17:00:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:00:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:01:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:01:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:02:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:02:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:03:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:03:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:04:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:04:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:05:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:05:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:06:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:06:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:07:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:07:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:08:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:08:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:09:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:09:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:10:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:10:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:11:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:11:34] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:12:04] NEW FILE TOTAL: 120/250 (48.0%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:13, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:12:34] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +1 in 30s
[2026-09-01 17:13:04] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:13:34] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:14:04] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:14:34] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:15:04] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:15:34] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:16:04] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:16:34] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:17:04] NEW FILE TOTAL: 121/250 (48.4%) | LESSON PLANS: 44 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:12, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:17:34] NEW FILE TOTAL: 123/250 (49.2%) | LESSON PLANS: 45 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:11, C11:5, C12:4] | RATE: +2 in 30s
[2026-09-01 17:18:05] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +1 in 30s
[2026-09-01 17:18:35] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:19:05] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:19:35] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:20:05] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:20:35] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:21:05] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:21:35] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:22:05] NEW FILE TOTAL: 124/250 (49.6%) | LESSON PLANS: 46 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:12, C6:14, C7:9, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:22:35] NEW FILE TOTAL: 126/250 (50.4%) | LESSON PLANS: 48 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:13, C6:14, C7:10, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +2 in 30s
[2026-09-01 17:23:05] NEW FILE TOTAL: 126/250 (50.4%) | LESSON PLANS: 48 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:13, C6:14, C7:10, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:23:35] NEW FILE TOTAL: 126/250 (50.4%) | LESSON PLANS: 48 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:13, C6:14, C7:10, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
[2026-09-01 17:24:05] NEW FILE TOTAL: 126/250 (50.4%) | LESSON PLANS: 48 (>20 req) | GRADES 1-12: [C1:16, C2:17, C3:14, C4:6, C5:13, C6:14, C7:10, C8:8, C9:7, C10:12, C11:5, C12:4] | RATE: +0 in 30s
